ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00707,41980,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,25020,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,38660,MERCEDITA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00716,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00717,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,NARANJITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00720,38660,OROCOVIS,PR,0.106846128,0.024691358,0.000000000,0.101322957
00720,41980,OROCOVIS,PR,0.893153872,0.975308642,1.000000000,0.898677043
00721,41980,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,25020,PATILLAS,PR,0.836662371,0.993690852,1.000000000,0.846130547
00723,41980,PATILLAS,PR,0.163337629,0.006309148,0.000000000,0.153869453
00725,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00726,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,CANOVANAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00733,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00735,41980,CEIBA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00736,41980,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00737,41980,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00738,41980,FAJARDO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00739,41980,CIDRA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00740,41980,PUERTO REAL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00741,41980,PUNTA SANTIAGO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00742,41980,ROOSEVELT ROADS,PR,0.000000000,0.000000000,1.000000000,1.000000000
00744,41980,RIO BLANCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00745,41980,RIO GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00751,42180,SALINAS,PR,0.001312023,0.000000000,0.000000000,0.001215873
00751,17640,SALINAS,PR,0.998687977,1.000000000,1.000000000,0.998784127
00754,41980,SAN LORENZO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00757,42180,SANTA ISABEL,PR,0.997880883,1.000000000,1.000000000,0.997988567
00757,17620,SANTA ISABEL,PR,0.002119117,0.000000000,0.000000000,0.002011433
00765,99999,VIEQUES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00766,38660,VILLALBA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00767,41980,YABUCOA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00769,17620,COAMO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00771,41980,LAS PIEDRAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00772,41980,LOIZA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00773,41980,LUQUILLO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00775,99999,CULEBRA,PR,0.000000000,0.000000000,1.000000000,1.000000000
00777,41980,JUNCOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00778,41980,GURABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00780,38660,COTO LAUREL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00782,41980,COMERIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00783,41980,COROZAL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00784,25020,GUAYAMA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00785,25020,GUAYAMA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00786,41980,LA PLATA,PR,0.000000000,0.000000000,1.000000000,1.000000000
00791,41980,HUMACAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00792,41980,HUMACAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00794,41980,BARRANQUITAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00795,38660,JUANA DIAZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00801,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00802,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00803,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00804,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00820,99999,CHRISTIANSTED,VI,1.000000000,1.000000000,1.000000000,1.000000000
00830,99999,ST JOHN,VI,1.000000000,1.000000000,1.000000000,1.000000000
00831,99999,ST JOHN,VI,1.000000000,1.000000000,1.000000000,1.000000000
00840,99999,FREDERIKSTED,VI,1.000000000,1.000000000,1.000000000,1.000000000
00850,99999,KINGSHILL,VI,1.000000000,1.000000000,1.000000000,1.000000000
00901,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00902,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00907,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00908,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00909,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00910,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00911,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00912,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00913,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00914,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00915,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00916,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00917,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00918,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00919,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00920,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00921,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00922,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00923,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00924,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00925,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00926,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00927,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00928,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00929,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00931,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00934,41980,FORT BUCHANAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00935,41980,SAN JUAN,PR,0.000000000,1.000000000,0.000000000,1.000000000
00936,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00937,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00940,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00949,41980,TOA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00950,41980,TOA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00951,41980,TOA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00952,41980,SABANA SECA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00953,41980,TOA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00954,41980,TOA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00956,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00957,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00958,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00959,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00960,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00961,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00962,41980,CATANO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00963,41980,CATANO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00965,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00966,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00968,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00969,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00970,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00971,41980,GUAYNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00975,41980,SAN JUAN,PR,0.000000000,1.000000000,1.000000000,1.000000000
00976,41980,TRUJILLO ALTO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00977,41980,TRUJILLO ALTO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00979,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00981,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00982,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00983,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00984,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00985,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00986,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00987,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00988,41980,CAROLINA,PR,1.000000000,1.000000000,1.000000000,1.000000000
01001,44140,AGAWAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
01002,44140,AMHERST,MA,1.000000000,1.000000000,1.000000000,1.000000000
01003,44140,AMHERST,MA,1.000000000,1.000000000,1.000000000,1.000000000
01004,44140,AMHERST,MA,1.000000000,1.000000000,1.000000000,1.000000000
01005,49340,BARRE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01007,44140,BELCHERTOWN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01008,44140,BLANDFORD,MA,0.840864440,0.952380952,1.000000000,0.863105175
01008,38340,BLANDFORD,MA,0.159135560,0.047619048,0.000000000,0.136894825
01009,44140,BONDSVILLE,MA,0.000000000,1.000000000,1.000000000,1.000000000
01010,44140,BRIMFIELD,MA,0.972498537,1.000000000,1.000000000,0.973625140
01010,49340,BRIMFIELD,MA,0.027501463,0.000000000,0.000000000,0.026374860
01011,44140,CHESTER,MA,1.000000000,1.000000000,1.000000000,1.000000000
01012,44140,CHESTERFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01013,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01014,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01020,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01021,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01022,44140,CHICOPEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01026,38340,CUMMINGTON,MA,0.045694200,0.000000000,0.041666667,0.043760130
01026,44140,CUMMINGTON,MA,0.954305800,1.000000000,0.958333333,0.956239870
01027,44140,EASTHAMPTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01028,44140,EAST LONGMEADOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
01029,38340,EAST OTIS,MA,0.000000000,0.000000000,1.000000000,1.000000000
01030,44140,FEEDING HILLS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01031,44140,GILBERTVILLE,MA,0.000000000,0.058823529,0.003067485,0.003273322
01031,49340,GILBERTVILLE,MA,1.000000000,0.941176471,0.996932515,0.996726678
01032,44140,GOSHEN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01033,44140,GRANBY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01034,44140,GRANVILLE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01035,44140,HADLEY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01036,44140,HAMPDEN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01037,49340,HARDWICK,MA,0.000000000,1.000000000,1.000000000,1.000000000
01038,44140,HATFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01039,44140,HAYDENVILLE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01040,44140,HOLYOKE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01041,44140,HOLYOKE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01050,44140,HUNTINGTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01053,44140,LEEDS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01054,44140,LEVERETT,MA,1.000000000,1.000000000,1.000000000,1.000000000
01056,44140,LUDLOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
01057,44140,MONSON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01059,44140,NORTH AMHERST,MA,0.000000000,1.000000000,0.000000000,1.000000000
01060,44140,NORTHAMPTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01061,44140,NORTHAMPTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01062,44140,FLORENCE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01063,44140,NORTHAMPTON,MA,0.000000000,1.000000000,1.000000000,1.000000000
01066,44140,NORTH HATFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01068,49340,OAKHAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
01069,44140,PALMER,MA,1.000000000,1.000000000,1.000000000,1.000000000
01070,44140,PLAINFIELD,MA,0.993442623,1.000000000,1.000000000,0.993527508
01070,38340,PLAINFIELD,MA,0.006557377,0.000000000,0.000000000,0.006472492
01071,44140,RUSSELL,MA,1.000000000,1.000000000,1.000000000,1.000000000
01072,44140,SHUTESBURY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01073,44140,SOUTHAMPTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01074,49340,SOUTH BARRE,MA,0.000000000,1.000000000,1.000000000,1.000000000
01075,44140,SOUTH HADLEY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01077,44140,SOUTHWICK,MA,1.000000000,1.000000000,1.000000000,1.000000000
01079,44140,THORNDIKE,MA,0.000000000,1.000000000,1.000000000,1.000000000
01080,44140,THREE RIVERS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01081,44140,WALES,MA,1.000000000,1.000000000,1.000000000,1.000000000
01082,49340,WARE,MA,0.065541601,0.089189189,0.074534161,0.067553559
01082,44140,WARE,MA,0.934458399,0.910810811,0.925465839,0.932446441
01083,49340,WARREN,MA,0.000000000,0.000000000,1.000000000,1.000000000
01084,44140,WEST CHESTERFIELD,MA,1.000000000,0.000000000,1.000000000,1.000000000
01085,44140,WESTFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01086,44140,WESTFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01088,44140,WEST HATFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01089,44140,WEST SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01090,44140,WEST SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01092,49340,WEST WARREN,MA,0.000000000,0.000000000,1.000000000,1.000000000
01093,44140,WHATELY,MA,0.000000000,0.000000000,1.000000000,1.000000000
01094,49340,WHEELWRIGHT,MA,0.000000000,1.000000000,1.000000000,1.000000000
01095,44140,WILBRAHAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
01096,44140,WILLIAMSBURG,MA,1.000000000,1.000000000,1.000000000,1.000000000
01097,44140,WORONOCO,MA,0.000000000,0.000000000,1.000000000,1.000000000
01098,44140,WORTHINGTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01101,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01103,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01104,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01105,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01106,44140,LONGMEADOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
