Do you live in the Midwest or the South?,"Do you live in the Midwest, the Great Plains, or the West?","Do you live in the Midwest, Appalachia, or the South?",What is your party affiliation/registration?,What is your age range?,"For statistical purposes only, can you please tell me your ethnicity?",What is the highest level of education you have attained?,Can you please tell me your gender?,ZIP,ZIP3,STATE,weights
#NULL!,1,#NULL!,4,7,2,5,1,57701,577,4,1.06
#NULL!,1,#NULL!,4,7,2,5,1,57702,577,4,1.06
#NULL!,2,#NULL!,4,7,2,3,1,57401,574,4,1.17
#NULL!,2,#NULL!,4,7,2,3,1,57701,577,4,1.17
#NULL!,1,#NULL!,4,7,2,3,1,57747,577,4,1.17
#NULL!,1,#NULL!,4,7,2,3,1,57747,577,4,1.17
#NULL!,1,#NULL!,4,6,2,2,2,57042,570,4,0.44
#NULL!,2,#NULL!,4,6,2,1,2,57110,571,4,0.46
#NULL!,3,#NULL!,4,6,2,4,2,57006,570,4,0.51
#NULL!,2,#NULL!,4,6,2,2,2,57059,570,4,0.52
#NULL!,1,#NULL!,4,6,2,2,2,57754,577,4,0.52
#NULL!,1,#NULL!,4,6,2,1,2,57066,570,4,0.59
#NULL!,1,#NULL!,4,6,2,1,2,57442,574,4,0.59
#NULL!,1,#NULL!,4,6,2,4,2,57106,571,4,0.60
#NULL!,1,#NULL!,4,6,2,4,2,57437,574,4,0.60
#NULL!,2,#NULL!,4,6,2,4,2,57730,577,4,0.60
#NULL!,1,#NULL!,4,6,5,4,2,57585,575,4,0.60
#NULL!,1,#NULL!,4,6,1,1,1,57730,577,4,0.68
#NULL!,3,#NULL!,4,6,2,4,3,57701,577,4,0.90
#NULL!,1,#NULL!,4,6,2,5,2,57104,571,4,0.70
#NULL!,2,#NULL!,4,6,2,5,2,57108,571,4,0.70
#NULL!,1,#NULL!,4,6,2,3,2,57103,571,4,0.77
#NULL!,1,#NULL!,4,6,2,3,2,57747,577,4,0.77
#NULL!,1,#NULL!,4,6,2,2,1,57006,570,4,0.83
#NULL!,2,#NULL!,4,6,5,2,1,57570,575,4,0.84
#NULL!,2,#NULL!,4,6,5,5,1,57717,577,4,0.93
#NULL!,1,#NULL!,4,6,2,1,2,57243,572,4,0.92
#NULL!,1,#NULL!,4,6,2,1,2,57325,573,4,0.92
#NULL!,1,#NULL!,4,6,2,4,1,57006,570,4,0.96
#NULL!,2,#NULL!,4,6,2,4,1,57107,571,4,0.96
#NULL!,1,#NULL!,4,6,2,4,1,57747,577,4,0.96
#NULL!,1,#NULL!,4,6,2,4,1,57747,577,4,0.96
#NULL!,1,#NULL!,4,6,2,3,2,57048,570,4,0.97
#NULL!,1,#NULL!,4,6,2,2,2,57264,572,4,1.02
#NULL!,2,#NULL!,4,6,1,3,1,57075,570,4,1.13
#NULL!,1,#NULL!,4,6,2,5,1,57718,577,4,1.13
#NULL!,1,#NULL!,4,6,2,4,2,57103,571,4,1.18
#NULL!,2,#NULL!,4,6,2,4,2,57701,577,4,1.18
#NULL!,2,#NULL!,4,6,2,3,1,57104,571,4,1.24
#NULL!,2,#NULL!,4,6,2,3,1,57350,573,4,1.24
#NULL!,1,#NULL!,4,6,5,5,2,57625,576,4,1.31
#NULL!,1,#NULL!,4,6,2,5,2,57068,570,4,1.38
#NULL!,1,#NULL!,4,6,2,5,2,57068,570,4,1.38
#NULL!,2,#NULL!,4,6,5,3,1,57560,575,4,1.52
#NULL!,1,#NULL!,4,6,2,3,2,57025,570,4,1.53
#NULL!,1,#NULL!,4,6,2,2,1,57006,570,4,1.65
#NULL!,2,#NULL!,4,6,2,2,1,57071,570,4,1.65
#NULL!,3,#NULL!,4,6,4,3,2,57717,577,4,2.08
#NULL!,1,#NULL!,4,6,2,3,1,57032,570,4,2.46
#NULL!,2,#NULL!,4,5,5,2,2,57580,575,4,0.49
#NULL!,3,#NULL!,4,5,2,1,2,57754,577,4,0.53
#NULL!,1,#NULL!,4,5,2,1,1,57701,577,4,0.60
#NULL!,2,#NULL!,4,5,2,4,2,57050,570,4,0.58
#NULL!,1,#NULL!,4,5,2,2,2,57058,570,4,0.59
#NULL!,1,#NULL!,4,5,2,2,2,57104,571,4,0.59
#NULL!,2,#NULL!,4,5,5,1,2,57580,575,4,0.64
#NULL!,2,#NULL!,4,5,3,1,1,57104,571,4,0.67
#NULL!,1,#NULL!,4,5,2,1,2,57058,570,4,0.67
#NULL!,2,#NULL!,4,5,2,1,2,57106,571,4,0.67
#NULL!,1,#NULL!,4,5,2,1,2,57231,572,4,0.67
#NULL!,2,#NULL!,4,5,2,1,1,57104,571,4,0.70
#NULL!,1,#NULL!,4,5,2,4,2,57006,570,4,0.68
#NULL!,1,#NULL!,4,5,2,4,2,57104,571,4,0.68
#NULL!,1,#NULL!,4,5,2,4,2,57106,571,4,0.68
#NULL!,1,#NULL!,4,5,2,4,2,57430,574,4,0.68
#NULL!,3,#NULL!,4,5,2,4,2,57701,577,4,0.68
#NULL!,1,#NULL!,4,5,5,2,2,57104,571,4,0.72
#NULL!,1,#NULL!,4,5,2,4,1,57022,570,4,0.77
#NULL!,1,#NULL!,4,5,2,2,2,57103,571,4,0.74
#NULL!,2,#NULL!,4,5,2,2,2,57106,571,4,0.74
#NULL!,2,#NULL!,4,5,2,2,2,57401,574,4,0.74
#NULL!,2,#NULL!,4,5,2,5,2,57108,571,4,0.80
#NULL!,2,#NULL!,4,5,2,5,2,57108,571,4,0.80
#NULL!,2,#NULL!,4,5,2,5,1,57043,570,4,0.90
#NULL!,2,#NULL!,4,5,2,3,2,57042,570,4,0.88
#NULL!,1,#NULL!,4,5,5,2,1,57703,577,4,0.95
#NULL!,1,#NULL!,4,5,2,5,1,57045,570,4,1.06
#NULL!,1,#NULL!,4,5,3,3,1,57104,571,4,1.07
#NULL!,2,#NULL!,4,5,2,1,2,57078,570,4,1.05
#NULL!,1,#NULL!,4,5,2,1,2,57350,573,4,1.05
#NULL!,1,#NULL!,4,5,2,1,2,57730,577,4,1.05
#NULL!,2,#NULL!,4,5,5,3,2,57701,577,4,1.07
#NULL!,2,#NULL!,4,5,2,3,2,57355,573,4,1.11
#NULL!,1,#NULL!,4,5,2,3,1,57108,571,4,1.16
#NULL!,2,#NULL!,4,5,5,2,2,57323,573,4,1.11
